Function and Subfunction,1976,TQ,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016 estimate,2017 estimate,2018 estimate,2019 estimate,2020 estimate,2021 estimate
050 National Defense:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051 Department of Defense-Military:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, Community and Regional Development","5,703",790,"13,608","11,173","11,123","11,728","9,966","8,390","9,983","8,899","8,162","6,884","6,647","8,830","7,881","9,817","7,753","12,290","10,150","15,591","12,995","12,538","13,565","10,624","11,288","11,259","14,525","23,021","16,699","18,136","84,495","31,100","17,641","41,511","23,949","21,214","15,255","18,504","51,066","16,532","17,452","18,296","29,599","12,951","13,477","13,979","14,262"
"500 Education, Training, Employment, and Social Services:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"501 Elementary, secondary, and vocational education","4,624","2,826","5,825","6,146","7,047","7,404","6,808","6,341","6,816","7,207","7,926","7,644","8,965","9,502","10,125","11,293","13,130","14,230","14,214","14,782","15,224","13,697","17,044","18,794","16,859","17,136","26,037","32,927","36,396","38,254","38,845","39,688","38,109","37,218","115,195","50,520","39,889","39,421","38,189","39,287","39,215","40,379","45,416","45,722","48,619","49,786","51,537"
502 Higher education,"3,828",185,"3,858","4,523","5,854","6,775","8,895","8,012","7,364","6,900","9,705","8,723","9,001","8,932","10,934","11,311","12,374","12,166","14,750","9,595","14,438","12,725","13,521","13,829","13,679","11,877","10,472","19,543","23,573","25,602","32,294","57,011","26,718","24,626","12,092","12,558","5,939","20,383","2,464","17,194","49,438","39,192","35,214","41,958","48,373","50,892","54,672"
503 Research and general education aids,748,339,"1,011","1,140","1,249","1,170","1,225","1,173","1,259","1,244","1,337","1,289","1,413","1,470","1,547","1,628","1,916","2,083","2,132","2,188","2,281","2,118","2,350","2,244","2,602","2,645","3,106","2,852","2,962","3,085","3,213","3,178","3,164","3,342","3,899","3,812","3,567","3,511","3,349","3,447","3,486","3,629","3,908","3,983","4,054","4,069","4,142"
504 Training and employment,"7,264",839,"13,969","4,802","11,739","9,623","9,109","4,386","5,515","8,688","5,422","4,875","5,226","5,327","5,392","6,093","6,771","7,252","7,347","7,981","7,093","6,911","7,620","8,382","8,732","4,862","7,797","7,623","7,385","7,255","7,432","7,210","7,320","7,310","11,840","8,528","7,307","8,110","7,331","7,369","6,900","7,355","20,203","7,815","7,925","8,037","8,109"
505 Other labor services,329,82,383,440,522,572,606,600,640,685,716,679,730,778,802,817,808,894,933,957,993,957,"1,007","1,041","1,128","1,242","1,441","1,531","1,587","1,610","1,634","1,636","1,650","1,534","1,749","1,872","1,896","1,918","1,813","1,856","1,887","1,910","2,111","2,148","2,193","2,234","2,278"
506 Social services,"5,221","1,207","5,446","5,561","6,684","6,143","5,693","5,581","6,009","6,228","6,492","6,322","6,849","8,224","8,396","8,349","9,143","9,420","10,457","13,147","11,985","11,269","12,073","12,387","12,491","11,715","14,656","15,406","15,749","16,210","16,560","17,079","16,675","17,314","22,780","17,865","17,941","18,310","18,024","18,644","18,691","19,525","20,983","21,338","21,715","22,105","22,508"
"Total, Education, Training, Employment, and Social Services","22,013","5,480","30,493","22,613","33,095","31,689","32,336","26,093","27,602","30,952","31,597","29,533","32,183","34,233","37,195","39,491","44,141","46,045","49,834","48,651","52,014","47,677","53,615","56,677","55,491","49,477","63,509","79,882","87,652","92,016","99,978","125,802","93,636","91,344","167,555","95,155","76,539","91,653","71,170","87,797","119,617","111,990","127,835","122,964","132,879","137,123","143,246"
550 Health:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
